Country,Happiness_Score,Population,Land_Area_(KM2),Population_Density,Net_Migrants,Fertility_Rate,Median_Age,Urban_Population_Percentage,Developed_Developing,Human_Development_Index,Health_Care_Index,Constitutional_Form,Literacy_Rate,Latitude,Longitude,River_(Sq KM),River_to_Land_Percent,Pollution_PM2_5
Afghanistan,1.72,42239854,652860,65,-65846,4.40,17,26,Developing,0.478,45.00,Provisional,0.3817,33.00,65.00,0,0.00,15.00
Albania,5.3,2832439,27400,103,-8000,1.40,38,67,Developing,0.796,48.86,Republic,0.9755,41.00,20.00,1350,4.93,14.50
Algeria,5.36,45606480,2381740,19,-9999,2.80,28,75,Developing,0.745,49.00,Republic,0.7961,28.00,3.00,0,0.00,17.80
Argentina,6.19,45773884,2736690,17,3718,1.90,32,94,Developed,0.842,50.04,Republic,0.9809,-34.00,-64.00,43710,1.60,7.70
Armenia,5.46,2777970,28470,98,-5000,1.60,35,67,Developing,0.759,48.71,Republic,0.9977,40.00,45.00,1540,5.41,31.40
Australia,7.06,26439111,7682300,3,139991,1.60,38,86,Developed,0.951,57.77,Constitutional monarchy,0.99,-27.00,133.00,58920,0.77,4.20
Austria,6.91,8958960,82409,109,19999,1.50,43,59,Developed,0.916,54.69,Republic,0.98,47.33,13.33,1426,1.73,10.60
Azerbaijan,4.89,10412651,82658,126,0,1.70,32,57,Developing,0.745,48.66,Republic,0.9981,40.50,47.50,3971,4.80,18.90
Bahrain,5.96,1485509,760,1955,0,1.80,34,60,Developed,0.875,52.83,Constitutional monarchy,0.9572,26.00,50.55,0,0.00,66.60
Bangladesh,3.89,172954319,130170,1329,-309977,1.90,27,41,Developing,0.661,45.39,Republic,0.6149,24.00,90.00,13830,10.62,65.80
Belgium,6.89,11686140,30280,386,23999,1.60,41,99,Developed,0.937,53.99,Constitutional monarchy,0.99,50.83,4.00,250,0.83,10.80
Benin,4.38,13712828,112760,122,-200,4.80,18,48,Developing,0.525,44.00,Republic,0.3845,9.50,2.25,2000,1.77,15.00
Bolivia,5.78,12388571,1083300,11,-3000,2.50,24,69,Developing,0.692,37.00,Republic,0.9514,-17.00,-65.00,15280,1.41,7.30
Bosnia and Herzegovina,5.88,3210847,51000,63,-500,1.30,42,54,Developing,0.780,34.00,Republic,0.9849,44.00,18.00,10,0.02,33.60
Botswana,3.38,2675352,566730,5,3000,2.70,24,69,Developing,0.693,35.00,Republic,0.8822,-22.00,24.00,15000,2.65,15.00
Brazil,6.27,216422446,8358140,26,6000,1.60,34,88,Developing,0.754,51.85,Republic,0.9259,-10.00,-55.00,55460,0.66,12.20
Bulgaria,5.46,6687717,108560,62,-4800,1.60,45,78,Developing,0.795,47.02,Republic,0.9839,43.00,25.00,2390,2.20,18.30
Burkina Faso,4.55,23251485,273600,85,-24998,4.60,17,32,Developing,0.449,42.00,Provisional,0.3775,13.00,-2.00,400,0.15,63.00
Cambodia,4.34,16944826,176520,96,-29998,2.30,27,26,Developing,0.593,45.23,Constitutional monarchy,0.7835,13.00,105.00,4520,2.56,8.30
Cameroon,4.87,28647293,472710,61,-4800,4.30,18,58,Developing,0.576,32.00,Republic,0.7499,6.00,12.00,2730,0.58,15.00
Canada,6.9,38781291,9093510,4,249746,1.50,41,81,Developed,0.936,55.89,Constitutional monarchy,0.99,60.00,-95.00,891163,9.80,7.40
Chad,4.47,18278568,1259200,15,-2000,6.10,15,24,Developing,0.394,49.00,Provisional,0.4002,15.00,19.00,24800,1.97,89.70
Chile,6.36,19629590,743532,26,-71205,1.50,36,85,Developed,0.855,51.61,Republic,0.9663,-30.00,-71.00,12290,1.65,22.20
China,5.97,1425671352,9388211,152,-310220,1.20,39,65,Developing,0.768,46.15,Republic,0.9636,35.00,105.00,27060,0.29,30.60
Colombia,5.7,52085168,1109500,47,-175051,1.70,32,81,Developing,0.752,48.93,Republic,0.9458,4.00,-72.00,100210,9.03,15.70
Comoros,3.57,852075,1861,458,-2000,3.80,20,33,Developing,0.558,43.00,Republic,0.7814,-12.17,44.25,0,0.00,16.00
Costa Rica,6.96,5212173,51060,102,3750,1.50,34,82,Developed,0.809,50.88,Republic,0.9765,10.00,-84.00,40,0.08,7.90
Croatia,5.94,4008617,55960,72,-2000,1.40,44,59,Developed,0.858,52.40,Republic,0.9927,45.17,15.50,620,1.11,23.50
Cyprus,6.07,1260138,9240,136,5000,1.30,39,65,Developed,0.896,53.74,Republic,0.9906,35.00,33.00,10,0.11,15.60
Czech Republic,6.82,10495295,77240,136,22011,1.70,43,75,Developed,0.889,53.00,Republic,0.99,49.75,15.50,1620,2.10,13.40
Denmark,7.58,5910913,42430,139,19999,1.70,41,88,Developed,0.948,55.46,Constitutional monarchy,0.99,56.00,10.00,660,1.56,8.60
Dominican Republic,5.82,11332972,48320,235,-29099,2.20,28,85,Developing,0.767,38.00,Republic,0.9247,19.00,-70.67,350,0.72,16.00
